,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
0,寿司,青森産生サーモン,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
1,寿司,青森産生サーモン(ミニしゃり),○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
2,寿司,あおりいか,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
3,寿司,赤えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
4,寿司,赤えび(ミニしゃり),,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
5,寿司,あじの天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
6,寿司,穴子の天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
7,寿司,炙り3貫盛り,○,○,○,●,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
8,寿司,炙り赤えび塩レモン,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
9,寿司,炙り活〆真鯛レモン,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
10,寿司,炙り大つぶ貝レモン,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
11,寿司,炙り国産生サーモン,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
12,寿司,炙りサーモンバジルチーズ,●,●,○,○,○,,,,○,,○,,,○,,○,,●,○,●,○,○,○,,,,●,○
13,寿司,炙り〆さばレモン,,,●,,,,,,,,,,,,,○,,,●,●,,,○,,,,○,
14,寿司,炙りジャンボとろサーモンレモン,,,○,,,,,,,,,,,,,○,,●,,○,,,○,,,,○,
15,寿司,炙り上穴子,○,○,●,○,○,,○,,,,,,○,,,○,○,,○,●,○,,○,,○,,○,○
16,寿司,炙りたらこ包み,,,○,○,,,,,,,,,,,,○,,,,○,,,○,,,,○,
17,寿司,炙りチャーシューにぎり,,,○,,,,,,,,,,,,,○,,,,○,,,●,,,,○,
18,寿司,炙りチャーシューねぎまみれ,●,●,●,○,○,,○,,,,,,○,,,○,○,,○,●,○,,●,,○,,●,●
19,寿司,炙り天然真はた,,,●,,,,,,,,,,,,,○,,○,○,●,,,○,,,,○,
20,寿司,炙り特ネタ大とろレモン,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
21,寿司,炙り特ネタ中とろレモン,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
22,寿司,炙り生サーモンチーズ,●,●,○,,,,,,,,,,,,,○,,●,,●,,,○,,,,●,○
23,寿司,炙り生サーモンバジルチーズ,●,●,○,○,○,,,,○,,○,○,,○,,○,○,●,○,●,○,○,○,,,,●,○
24,寿司,炙り生サーモンレモン,○,○,○,○,○,,,,,,○,○,,,,○,○,●,○,○,,,○,,,,○,
25,寿司,炙りにしん,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
26,寿司,炙りはまち腹身 ゼリーポン酢のせ,,,●,○,○,,,,,,○,,,,,○,,○,○,●,,,○,,,,○,
27,寿司,炙りはまちレモン,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
28,寿司,炙りびんとろレモン,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
29,寿司,炙りほたて貝柱レモン,,,○,○,○,,,,,,○,○,,,,○,,○,○,○,,,○,,,,○,
30,寿司,炙りまぐろゼリーポン酢,,,●,,,,,,,,○,,,,,○,,○,,●,,,○,,,,○,
31,寿司,炙りまぐろレモン,,,○,,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
32,寿司,炙りレアチャーシュー1貫,,,○,,,,,,,,,,,,,○,,,,○,,,●,,,,○,
33,寿司,アボカド天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
34,寿司,甘えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
35,寿司,あん肝,,,●,○,,,,,,,,,,,,○,,,,●,,,○,,,,○,
36,寿司,あんこうの天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
37,寿司,いか,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
38,寿司,いか(ミニしゃり),,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
39,寿司,いか梅しそにぎり,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
40,寿司,いか山椒ラー油和え,,,●,,,,,,,,●,,,,,○,,,,●,,,○,,,,○,
41,寿司,いか塩レモン,,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
42,寿司,いか塩レモン(ミニしゃり),,,○,,,,,,,,●,,,,,○,,,,○,,,○,,,,○,
43,寿司,いかオクラめかぶ,,,●,○,,,,,,,●,,,,,○,,,,●,,,○,,,,○,●
44,寿司,いくら,○,○,●,○,○,,,,,,,●,,,,○,,,●,●,,,○,,,,○,
45,寿司,生えび,,,○,●,,,,,,,,,,,,○,,,,○,,,○,,,,○,
46,寿司,活〆はまち(ミニしゃり),,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
47,寿司,活〆はまち腹身1貫,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
48,寿司,活〆ひらめ,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
